SR NO,GROUP,SYMBOL,DESCRIPTION,LP,DIGITS,Benchmark,Core Spread,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P59,P60,P62,P63,P64,P65,P66,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103
578,USEQUITY,SHLS, Shoals Technologies Group Inc,CMC,3,0.02,0.01,0.02,0.04,0.06,0.1,0.15,0.28,0.38,0.48,0.6,0.1,0.6,0.48,0.02,0.15,0.1,0.6,0.1,0.06,0.1,0.28,0.28,0.1,0.6,0.6,0.15,0.1,0.15,0.48,0.28,0.15,0.48,0.02,0.1,0.48,0.15,0.15,0.48,0.1,0.38,0.38,0.06,0.1,0.28,0.06,0.1,0.38,0.28,0.02,0.48,0.04,0.6,0.28,0.15,0.06,0.06,0.15,0.11,0.1,0.15,0.28,0.15,0.15,0.1,0.15,0.6,0.28,0.06,0.28,0.15,0.02,0.6,0.1,0.15,0.28,0.6,0.02,0.1,0.1,0.1,0.1,0.1,0.15,0.1,0.15,0.38,0.28,0.6,0.06,0.06,0.15,0.1,0.28,0.15,0.1,0.1
579,USEQUITY,SKSBF, Skechers USA Inc,CMC,3,0.05,0.05,0.08,0.1,0.12,0.09,0.18,0.23,0.36,0.47,0.57,0.09,0.57,0.47,0.08,0.18,0.09,0.57,0.09,0.12,0.09,0.23,0.23,0.09,0.57,0.57,0.18,0.09,0.18,0.47,0.23,0.18,0.47,0.1,0.09,0.47,0.18,0.18,0.47,0.09,0.36,0.36,0.12,0.09,0.23,0.12,0.09,0.36,0.23,0.08,0.47,0.1,0.57,0.23,0.18,0.12,0.12,0.18,0.15,0.09,0.18,0.23,0.18,0.18,0.09,0.18,0.57,0.23,0.12,0.23,0.18,0.1,0.57,0.09,0.18,0.23,0.57,0.08,0.09,0.09,0.09,0.09,0.09,0.18,0.09,0.18,0.36,0.23,0.57,0.12,0.12,0.18,0.09,0.23,0.18,0.09,0.09
580,USEQUITY,SLB, Schlumberger Ltd (US),CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
581,USEQUITY,SLS, Sellas Life Sciences Group Inc,CMC,3,0.03,0.03,0.04,0.05,0.06,0.07,0.09,0.16,0.27,0.38,0.48,0.07,0.48,0.38,0.04,0.09,0.07,0.48,0.07,0.06,0.07,0.16,0.16,0.07,0.48,0.48,0.09,0.07,0.09,0.38,0.16,0.09,0.38,0.06,0.07,0.38,0.09,0.09,0.38,0.07,0.27,0.27,0.06,0.07,0.16,0.06,0.07,0.27,0.16,0.04,0.38,0.05,0.48,0.16,0.09,0.06,0.06,0.09,0.13,0.07,0.09,0.16,0.09,0.09,0.07,0.09,0.48,0.16,0.06,0.16,0.09,0.06,0.48,0.07,0.09,0.16,0.48,0.04,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.09,0.27,0.16,0.48,0.06,0.06,0.09,0.07,0.16,0.09,0.07,0.07
582,USEQUITY,SMCI, Super Micro Computer Inc,CMC,4,0.05,0.05,0.15,0.056,0.059,0.061,0.068,0.073,0.086,0.097,0.107,0.061,0.107,0.097,0.15,0.068,0.061,0.107,0.061,0.059,0.061,0.073,0.073,0.061,0.107,0.107,0.068,0.061,0.068,0.097,0.073,0.068,0.097,0.1,0.061,0.097,0.068,0.068,0.097,0.061,0.086,0.086,0.059,0.061,0.073,0.059,0.061,0.086,0.073,0.15,0.097,0.056,0.107,0.073,0.068,0.059,0.059,0.068,0.15,0.061,0.068,0.073,0.068,0.068,0.061,0.068,0.107,0.073,0.059,0.073,0.068,0.1,0.107,0.061,0.068,0.073,0.107,0.15,0.061,0.061,0.061,0.061,0.061,0.068,0.061,0.068,0.086,0.073,0.107,0.059,0.059,0.068,0.061,0.073,0.068,0.061,0.061
583,USEQUITY,SNAP, Snap Inc,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
584,USEQUITY,SNDL, Sundial Growers Inc,CMC,3,0.02,0.02,0.021,0.022,0.023,0.028,0.029,0.036,0.047,0.058,0.068,0.028,0.068,0.058,0.021,0.029,0.028,0.068,0.028,0.023,0.028,0.036,0.036,0.028,0.068,0.068,0.029,0.028,0.029,0.058,0.036,0.029,0.058,0.04,0.028,0.058,0.029,0.029,0.058,0.028,0.047,0.047,0.023,0.028,0.036,0.023,0.028,0.047,0.036,0.021,0.058,0.022,0.068,0.036,0.029,0.023,0.023,0.029,0.12,0.028,0.029,0.036,0.029,0.029,0.028,0.029,0.068,0.036,0.023,0.036,0.029,0.04,0.068,0.028,0.029,0.036,0.068,0.021,0.028,0.028,0.028,0.028,0.028,0.029,0.028,0.029,0.047,0.036,0.068,0.023,0.023,0.029,0.028,0.036,0.029,0.028,0.028
585,USEQUITY,SNDX, Syndax Pharmaceuticals Inc,CMC,3,0.06,0.06,0.08,0.1,0.12,0.14,0.23,0.28,0.41,0.52,0.62,0.14,0.62,0.52,0.08,0.23,0.14,0.62,0.14,0.12,0.14,0.28,0.28,0.14,0.62,0.62,0.23,0.14,0.23,0.52,0.28,0.23,0.52,0.12,0.14,0.52,0.23,0.23,0.52,0.14,0.41,0.41,0.12,0.14,0.28,0.12,0.14,0.41,0.28,0.08,0.52,0.1,0.62,0.28,0.23,0.12,0.12,0.23,0.16,0.14,0.23,0.28,0.23,0.23,0.14,0.23,0.62,0.28,0.12,0.28,0.23,0.12,0.62,0.14,0.23,0.28,0.62,0.08,0.14,0.14,0.14,0.14,0.14,0.23,0.14,0.23,0.41,0.28,0.62,0.12,0.12,0.23,0.14,0.28,0.23,0.14,0.14
586,USEQUITY,SNNUS, Smith And Nephew (US),CMC,3,0.01,0.01,0.03,0.04,0.05,0.09,0.15,0.23,0.36,0.47,0.56,0.09,0.56,0.47,0.03,0.15,0.09,0.56,0.09,0.05,0.09,0.23,0.23,0.09,0.56,0.56,0.15,0.09,0.15,0.47,0.23,0.15,0.47,0.02,0.09,0.47,0.15,0.15,0.47,0.09,0.36,0.36,0.05,0.09,0.23,0.05,0.09,0.36,0.23,0.03,0.47,0.04,0.56,0.23,0.15,0.05,0.05,0.15,0.11,0.09,0.15,0.23,0.15,0.15,0.09,0.15,0.56,0.23,0.05,0.23,0.15,0.02,0.56,0.09,0.15,0.23,0.56,0.03,0.09,0.09,0.09,0.09,0.09,0.15,0.09,0.15,0.36,0.23,0.56,0.05,0.05,0.15,0.09,0.23,0.15,0.09,0.09
587,USEQUITY,SNOW, Snowflake Inc.,CMC,3,0.08,0.08,0.13,0.16,0.19,0.22,0.25,0.34,0.46,0.61,0.71,0.22,0.71,0.61,0.13,0.25,0.22,0.71,0.22,0.19,0.22,0.34,0.34,0.22,0.71,0.71,0.25,0.22,0.25,0.61,0.34,0.25,0.61,0.16,0.22,0.61,0.25,0.25,0.61,0.22,0.46,0.46,0.19,0.22,0.34,0.19,0.22,0.46,0.34,0.13,0.61,0.16,0.71,0.34,0.25,0.19,0.19,0.25,0.18,0.22,0.25,0.34,0.25,0.25,0.22,0.25,0.71,0.34,0.19,0.34,0.25,0.16,0.71,0.22,0.25,0.34,0.71,0.13,0.22,0.22,0.22,0.22,0.22,0.25,0.22,0.25,0.46,0.34,0.71,0.19,0.19,0.25,0.22,0.34,0.25,0.22,0.22
588,USEQUITY,SNPS, Synopsys Inc,CMC,2,0.2,0.2,0.22,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,0.5,1,0.9,0.22,0.6,0.5,1,0.5,0.4,0.5,0.7,0.7,0.5,1,1,0.6,0.5,0.6,0.9,0.7,0.6,0.9,0.4,0.5,0.9,0.6,0.6,0.9,0.5,0.8,0.8,0.4,0.5,0.7,0.4,0.5,0.8,0.7,0.22,0.9,0.3,1,0.7,0.6,0.4,0.4,0.6,0.3,0.5,0.6,0.7,0.6,0.6,0.5,0.6,1,0.7,0.4,0.7,0.6,0.4,1,0.5,0.6,0.7,1,0.22,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.8,0.7,1,0.4,0.4,0.6,0.5,0.7,0.6,0.5,0.5
589,USEQUITY,SNTL, SentinelOne Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.09,0.15,0.23,0.36,0.47,0.56,0.09,0.56,0.47,0.03,0.15,0.09,0.56,0.09,0.05,0.09,0.23,0.23,0.09,0.56,0.56,0.15,0.09,0.15,0.47,0.23,0.15,0.47,0.02,0.09,0.47,0.15,0.15,0.47,0.09,0.36,0.36,0.05,0.09,0.23,0.05,0.09,0.36,0.23,0.03,0.47,0.04,0.56,0.23,0.15,0.05,0.05,0.15,0.11,0.09,0.15,0.23,0.15,0.15,0.09,0.15,0.56,0.23,0.05,0.23,0.15,0.02,0.56,0.09,0.15,0.23,0.56,0.03,0.09,0.09,0.09,0.09,0.09,0.15,0.09,0.15,0.36,0.23,0.56,0.05,0.05,0.15,0.09,0.23,0.15,0.09,0.09
590,USEQUITY,SO, SOUTHERN CO,CMC,3,0.01,0.01,0.04,0.06,0.08,0.19,0.29,0.34,0.47,0.58,0.78,0.19,0.78,0.58,0.04,0.29,0.19,0.78,0.19,0.08,0.19,0.34,0.34,0.19,0.78,0.78,0.29,0.19,0.29,0.58,0.34,0.29,0.58,0.02,0.19,0.58,0.29,0.29,0.58,0.19,0.47,0.47,0.08,0.19,0.34,0.08,0.19,0.47,0.34,0.04,0.58,0.06,0.78,0.34,0.29,0.08,0.08,0.29,0.11,0.19,0.29,0.34,0.29,0.29,0.19,0.29,0.78,0.34,0.08,0.34,0.29,0.02,0.78,0.19,0.29,0.34,0.78,0.04,0.19,0.19,0.19,0.19,0.19,0.29,0.19,0.29,0.47,0.34,0.78,0.08,0.08,0.29,0.19,0.34,0.29,0.19,0.19
591,USEQUITY,SOFI, Sofi Technologies Inc,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
592,USEQUITY,SPCEUS, Virgin Galactic Holdings INC,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
593,USEQUITY,SPG, Simon Property Group Inc,CMC,3,0.04,0.04,0.15,0.18,0.21,0.24,0.3,0.36,0.45,0.54,0.63,0.24,0.63,0.54,0.15,0.3,0.24,0.63,0.24,0.21,0.24,0.36,0.36,0.24,0.63,0.63,0.3,0.24,0.3,0.54,0.36,0.3,0.54,0.08,0.24,0.54,0.3,0.3,0.54,0.24,0.45,0.45,0.21,0.24,0.36,0.21,0.24,0.45,0.36,0.15,0.54,0.18,0.63,0.36,0.3,0.21,0.21,0.3,0.14,0.24,0.3,0.36,0.3,0.3,0.24,0.3,0.63,0.36,0.21,0.36,0.3,0.08,0.63,0.24,0.3,0.36,0.63,0.15,0.24,0.24,0.24,0.24,0.24,0.3,0.24,0.3,0.45,0.36,0.63,0.21,0.21,0.3,0.24,0.36,0.3,0.24,0.24
594,USEQUITY,SPLUNK, Splunk Inc,CMC,2,0.04,0.04,0.07,0.09,0.11,0.13,0.22,0.27,0.4,0.51,0.61,0.13,0.61,0.51,0.07,0.22,0.13,0.61,0.13,0.11,0.13,0.27,0.27,0.13,0.61,0.61,0.22,0.13,0.22,0.51,0.27,0.22,0.51,0.08,0.13,0.51,0.22,0.22,0.51,0.13,0.4,0.4,0.11,0.13,0.27,0.11,0.13,0.4,0.27,0.07,0.51,0.09,0.61,0.27,0.22,0.11,0.11,0.22,0.14,0.13,0.22,0.27,0.22,0.22,0.13,0.22,0.61,0.27,0.11,0.27,0.22,0.08,0.61,0.13,0.22,0.27,0.61,0.07,0.13,0.13,0.13,0.13,0.13,0.22,0.13,0.22,0.4,0.27,0.61,0.11,0.11,0.22,0.13,0.27,0.22,0.13,0.13
595,USEQUITY,SPOT, Spotify Technology SA,CMC,3,0.13,0.13,0.18,0.21,0.25,0.32,0.39,0.47,0.55,0.7,0.87,0.32,0.87,0.7,0.18,0.39,0.32,0.87,0.32,0.25,0.32,0.47,0.47,0.32,0.87,0.87,0.39,0.32,0.39,0.7,0.47,0.39,0.7,0.26,0.32,0.7,0.39,0.39,0.7,0.32,0.55,0.55,0.25,0.32,0.47,0.25,0.32,0.55,0.47,0.18,0.7,0.21,0.87,0.47,0.39,0.25,0.25,0.39,0.23,0.32,0.39,0.47,0.39,0.39,0.32,0.39,0.87,0.47,0.25,0.47,0.39,0.26,0.87,0.32,0.39,0.47,0.87,0.18,0.32,0.32,0.32,0.32,0.32,0.39,0.32,0.39,0.55,0.47,0.87,0.25,0.25,0.39,0.32,0.47,0.39,0.32,0.32
596,USEQUITY,SPT, Sprout Social Inc,CMC,3,0.03,0.03,0.05,0.07,0.09,0.11,0.2,0.25,0.38,0.52,0.69,0.11,0.69,0.52,0.05,0.2,0.11,0.69,0.11,0.09,0.11,0.25,0.25,0.11,0.69,0.69,0.2,0.11,0.2,0.52,0.25,0.2,0.52,0.06,0.11,0.52,0.2,0.2,0.52,0.11,0.38,0.38,0.09,0.11,0.25,0.09,0.11,0.38,0.25,0.05,0.52,0.07,0.69,0.25,0.2,0.09,0.09,0.2,0.13,0.11,0.2,0.25,0.2,0.2,0.11,0.2,0.69,0.25,0.09,0.25,0.2,0.06,0.69,0.11,0.2,0.25,0.69,0.05,0.11,0.11,0.11,0.11,0.11,0.2,0.11,0.2,0.38,0.25,0.69,0.09,0.09,0.2,0.11,0.25,0.2,0.11,0.11
597,USEQUITY,SPY, SPDR S&P 500 ETF Trust,CMC,3,0.001,0.001,0.011,0.021,0.031,0.051,0.091,0.161,0.271,0.381,0.481,0.051,0.481,0.381,0.011,0.091,0.051,0.481,0.051,0.031,0.051,0.161,0.161,0.051,0.481,0.481,0.091,0.051,0.091,0.381,0.161,0.091,0.381,0.002,0.051,0.381,0.091,0.091,0.381,0.051,0.271,0.271,0.031,0.051,0.161,0.031,0.051,0.271,0.161,0.011,0.381,0.021,0.481,0.161,0.091,0.031,0.031,0.091,0.101,0.051,0.091,0.161,0.091,0.091,0.051,0.091,0.481,0.161,0.031,0.161,0.091,0.002,0.481,0.051,0.091,0.161,0.481,0.011,0.051,0.051,0.051,0.051,0.051,0.091,0.051,0.091,0.271,0.161,0.481,0.031,0.031,0.091,0.051,0.161,0.091,0.051,0.051
598,USEQUITY,SPYGUS, SPDR S&P 500 Growth ETF,CMC,5,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
599,USEQUITY,SRPT, Sarepta Therapeutics Inc,CMC,3,0.19,0.19,0.29,0.34,0.39,0.41,0.51,0.55,0.75,0.98,1.08,0.41,1.08,0.98,0.29,0.51,0.41,1.08,0.41,0.39,0.41,0.55,0.55,0.41,1.08,1.08,0.51,0.41,0.51,0.98,0.55,0.51,0.98,0.38,0.41,0.98,0.51,0.51,0.98,0.41,0.75,0.75,0.39,0.41,0.55,0.39,0.41,0.75,0.55,0.29,0.98,0.34,1.08,0.55,0.51,0.39,0.39,0.51,0.29,0.41,0.51,0.55,0.51,0.51,0.41,0.51,1.08,0.55,0.39,0.55,0.51,0.38,1.08,0.41,0.51,0.55,1.08,0.29,0.41,0.41,0.41,0.41,0.41,0.51,0.41,0.51,0.75,0.55,1.08,0.39,0.39,0.51,0.41,0.55,0.51,0.41,0.41
600,USEQUITY,STEM, Stem Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.1,0.16,0.25,0.35,0.5,0.07,0.5,0.35,0.03,0.1,0.07,0.5,0.07,0.05,0.07,0.16,0.16,0.07,0.5,0.5,0.1,0.07,0.1,0.35,0.16,0.1,0.35,0.02,0.07,0.35,0.1,0.1,0.35,0.07,0.25,0.25,0.05,0.07,0.16,0.05,0.07,0.25,0.16,0.03,0.35,0.04,0.5,0.16,0.1,0.05,0.05,0.1,0.11,0.07,0.1,0.16,0.1,0.1,0.07,0.1,0.5,0.16,0.05,0.16,0.1,0.02,0.5,0.07,0.1,0.16,0.5,0.03,0.07,0.07,0.07,0.07,0.07,0.1,0.07,0.1,0.25,0.16,0.5,0.05,0.05,0.1,0.07,0.16,0.1,0.07,0.07
601,USEQUITY,STLA, Stellantis NV,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.09,0.16,0.27,0.38,0.48,0.07,0.48,0.38,0.03,0.09,0.07,0.48,0.07,0.05,0.07,0.16,0.16,0.07,0.48,0.48,0.09,0.07,0.09,0.38,0.16,0.09,0.38,0.02,0.07,0.38,0.09,0.09,0.38,0.07,0.27,0.27,0.05,0.07,0.16,0.05,0.07,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.07,0.09,0.16,0.09,0.09,0.07,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.07,0.09,0.16,0.48,0.03,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.07,0.16,0.09,0.07,0.07
602,USEQUITY,STNE, Stone Co Ltd,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
603,USEQUITY,STRIDE, Stride Inc,CMC,3,0.01,0.01,0.04,0.05,0.06,0.04,0.09,0.16,0.27,0.38,0.48,0.04,0.48,0.38,0.04,0.09,0.04,0.48,0.04,0.06,0.04,0.16,0.16,0.04,0.48,0.48,0.09,0.04,0.09,0.38,0.16,0.09,0.38,0.02,0.04,0.38,0.09,0.09,0.38,0.04,0.27,0.27,0.06,0.04,0.16,0.06,0.04,0.27,0.16,0.04,0.38,0.05,0.48,0.16,0.09,0.06,0.06,0.09,0.11,0.04,0.09,0.16,0.09,0.09,0.04,0.09,0.48,0.16,0.06,0.16,0.09,0.02,0.48,0.04,0.09,0.16,0.48,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.09,0.27,0.16,0.48,0.06,0.06,0.09,0.04,0.16,0.09,0.04,0.04
604,USEQUITY,SUNNOVA, Sunnova Energy International Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.1,0.16,0.27,0.44,0.6,0.07,0.6,0.44,0.03,0.1,0.07,0.6,0.07,0.05,0.07,0.16,0.16,0.07,0.6,0.6,0.1,0.07,0.1,0.44,0.16,0.1,0.44,0.02,0.07,0.44,0.1,0.1,0.44,0.07,0.27,0.27,0.05,0.07,0.16,0.05,0.07,0.27,0.16,0.03,0.44,0.04,0.6,0.16,0.1,0.05,0.05,0.1,0.11,0.07,0.1,0.16,0.1,0.1,0.07,0.1,0.6,0.16,0.05,0.16,0.1,0.02,0.6,0.07,0.1,0.16,0.6,0.03,0.07,0.07,0.07,0.07,0.07,0.1,0.07,0.1,0.27,0.16,0.6,0.05,0.05,0.1,0.07,0.16,0.1,0.07,0.07
605,USEQUITY,SWKS, Skyworks Solutions Inc,CMC,2,0.04,0.04,0.1,0.18,0.26,0.35,0.41,0.48,0.58,0.7,0.85,0.35,0.85,0.7,0.1,0.41,0.35,0.85,0.35,0.26,0.35,0.48,0.48,0.35,0.85,0.85,0.41,0.35,0.41,0.7,0.48,0.41,0.7,0.08,0.35,0.7,0.41,0.41,0.7,0.35,0.58,0.58,0.26,0.35,0.48,0.26,0.35,0.58,0.48,0.1,0.7,0.18,0.85,0.48,0.41,0.26,0.26,0.41,0.14,0.35,0.41,0.48,0.41,0.41,0.35,0.41,0.85,0.48,0.26,0.48,0.41,0.08,0.85,0.35,0.41,0.48,0.85,0.1,0.35,0.35,0.35,0.35,0.35,0.41,0.35,0.41,0.58,0.48,0.85,0.26,0.26,0.41,0.35,0.48,0.41,0.35,0.35
606,USEQUITY,SWN, Southwestern Energy,CMC,3,0.01,0.01,0.08,0.1,0.12,0.15,0.17,0.22,0.35,0.46,0.56,0.15,0.56,0.46,0.08,0.17,0.15,0.56,0.15,0.12,0.15,0.22,0.22,0.15,0.56,0.56,0.17,0.15,0.17,0.46,0.22,0.17,0.46,0.02,0.15,0.46,0.17,0.17,0.46,0.15,0.35,0.35,0.12,0.15,0.22,0.12,0.15,0.35,0.22,0.08,0.46,0.1,0.56,0.22,0.17,0.12,0.12,0.17,0.11,0.15,0.17,0.22,0.17,0.17,0.15,0.17,0.56,0.22,0.12,0.22,0.17,0.02,0.56,0.15,0.17,0.22,0.56,0.08,0.15,0.15,0.15,0.15,0.15,0.17,0.15,0.17,0.35,0.22,0.56,0.12,0.12,0.17,0.15,0.22,0.17,0.15,0.15
607,USEQUITY,SYY, Sysco Corp,CMC,3,0.01,0.01,0.08,0.12,0.18,0.25,0.32,0.39,0.54,0.68,0.88,0.25,0.88,0.68,0.08,0.32,0.25,0.88,0.25,0.18,0.25,0.39,0.39,0.25,0.88,0.88,0.32,0.25,0.32,0.68,0.39,0.32,0.68,0.02,0.25,0.68,0.32,0.32,0.68,0.25,0.54,0.54,0.18,0.25,0.39,0.18,0.25,0.54,0.39,0.08,0.68,0.12,0.88,0.39,0.32,0.18,0.18,0.32,0.11,0.25,0.32,0.39,0.32,0.32,0.25,0.32,0.88,0.39,0.18,0.39,0.32,0.02,0.88,0.25,0.32,0.39,0.88,0.08,0.25,0.25,0.25,0.25,0.25,0.32,0.25,0.32,0.54,0.39,0.88,0.18,0.18,0.32,0.25,0.39,0.32,0.25,0.25
608,USEQUITY,TBPH, Theravance Biopharma Inc,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
609,USEQUITY,TD, Toronto-Dominion Bank,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.09,0.15,0.3,0.46,0.66,0.07,0.66,0.46,0.03,0.09,0.07,0.66,0.07,0.05,0.07,0.15,0.15,0.07,0.66,0.66,0.09,0.07,0.09,0.46,0.15,0.09,0.46,0.02,0.07,0.46,0.09,0.09,0.46,0.07,0.3,0.3,0.05,0.07,0.15,0.05,0.07,0.3,0.15,0.03,0.46,0.04,0.66,0.15,0.09,0.05,0.05,0.09,0.11,0.07,0.09,0.15,0.09,0.09,0.07,0.09,0.66,0.15,0.05,0.15,0.09,0.02,0.66,0.07,0.09,0.15,0.66,0.03,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.09,0.3,0.15,0.66,0.05,0.05,0.09,0.07,0.15,0.09,0.07,0.07
